# a_i,R_G
1.4000,4.4964028777e-06
1.4050,5.1387461459e-06
1.4100,5.6526207605e-06
1.4150,4.8818088386e-06
1.4200,5.9095580678e-06
1.4250,4.4964028777e-06
1.4300,4.2394655704e-06
1.4350,6.0380267215e-06
1.4400,3.5971223022e-06
1.4450,4.4964028777e-06
1.4500,2.4409044193e-06
1.4550,5.6526207605e-06
1.4600,3.7255909558e-06
1.4650,4.3679342240e-06
1.4700,3.2117163412e-06
1.4750,3.8540596095e-06
1.4800,2.9547790339e-06
1.4850,3.8540596095e-06
1.4900,3.7255909558e-06
1.4950,3.4686536485e-06
1.5000,2.4409044193e-06
1.5050,3.0832476876e-06
1.5100,4.6248715313e-06
1.5150,5.0102774923e-06
1.5200,2.4409044193e-06
1.5250,3.0832476876e-06
1.5300,3.2117163412e-06
1.5350,1.9270298047e-06
1.5400,3.8540596095e-06
1.5450,3.5971223022e-06
1.5500,8.9928057554e-07
1.5550,2.4409044193e-06
1.5600,1.9270298047e-06
1.5650,2.3124357657e-06
1.5700,2.1839671120e-06
1.5750,2.5693730730e-06
1.5800,1.4131551901e-06
1.5850,2.5693730730e-06
1.5900,2.5693730730e-06
1.5950,2.4409044193e-06
1.6000,2.1839671120e-06
1.6050,1.9270298047e-06
1.6100,1.5416238438e-06
1.6150,2.8263103803e-06
1.6200,1.9270298047e-06
1.6250,2.0554984584e-06
1.6300,2.3124357657e-06
1.6350,1.6700924974e-06
1.6400,2.6978417266e-06
1.6450,1.9270298047e-06
1.6500,1.0277492292e-06
1.6550,2.3124357657e-06
1.6600,1.4131551901e-06
1.6650,1.7985611511e-06
1.6700,1.6700924974e-06
1.6750,1.2846865365e-06
1.6800,1.7985611511e-06
1.6850,1.5416238438e-06
1.6900,1.9270298047e-06
1.6950,1.2846865365e-06
1.7000,1.1562178828e-06
